Indicator,Year,Geography,FIPS,Race,Sex,Age group,Misc,Rate,Cases,Population
Chlamydia,2000,Alabama,1,All races/ethnicities,Both sexes,All age groups,All transmission categories,344.2,"15,323","4,451,975"
Chlamydia,2000,Alaska,2,All races/ethnicities,Both sexes,All age groups,All transmission categories,409.3,"2,569","627,698"
Chlamydia,2000,American Samoa,60,All races/ethnicities,Both sexes,All age groups,All transmission categories,Data not available,Data not available,null
Chlamydia,2000,Arizona,4,All races/ethnicities,Both sexes,All age groups,All transmission categories,244.1,"12,612","5,167,142"
Chlamydia,2000,Arkansas,5,All races/ethnicities,Both sexes,All age groups,All transmission categories,232.2,"6,219","2,678,668"
Chlamydia,2000,California,6,All races/ethnicities,Both sexes,All age groups,All transmission categories,280.3,"95,316","34,010,375"
Chlamydia,2000,Colorado,8,All races/ethnicities,Both sexes,All age groups,All transmission categories,277.3,"12,000","4,326,758"
Chlamydia,2000,Connecticut,9,All races/ethnicities,Both sexes,All age groups,All transmission categories,222.9,"7,604","3,411,956"
Chlamydia,2000,Delaware,10,All races/ethnicities,Both sexes,All age groups,All transmission categories,363.1,"2,856","786,512"
Chlamydia,2000,District of Columbia,11,All races/ethnicities,Both sexes,All age groups,All transmission categories,560.7,"3,205","571,641"
Chlamydia,2000,Florida,12,All races/ethnicities,Both sexes,All age groups,All transmission categories,208,"33,390","16,051,398"
Chlamydia,2000,Georgia,13,All races/ethnicities,Both sexes,All age groups,All transmission categories,356.5,"29,359","8,234,373"
Chlamydia,2000,Guam,66,All races/ethnicities,Both sexes,All age groups,All transmission categories,338,525,"155,324"
Chlamydia,2000,Hawaii,15,All races/ethnicities,Both sexes,All age groups,All transmission categories,292.5,"3,547","1,212,671"
Chlamydia,2000,Idaho,16,All races/ethnicities,Both sexes,All age groups,All transmission categories,146.7,"1,907","1,299,721"
Chlamydia,2000,Illinois,17,All races/ethnicities,Both sexes,All age groups,All transmission categories,324.3,"40,350","12,440,846"
Chlamydia,2000,Indiana,18,All races/ethnicities,Both sexes,All age groups,All transmission categories,230.8,"14,063","6,091,950"
Chlamydia,2000,Iowa,19,All races/ethnicities,Both sexes,All age groups,All transmission categories,204.4,"5,987","2,928,742"
Chlamydia,2000,Kansas,20,All races/ethnicities,Both sexes,All age groups,All transmission categories,224.9,"6,056","2,692,557"
Chlamydia,2000,Kentucky,21,All races/ethnicities,Both sexes,All age groups,All transmission categories,199.1,"8,063","4,048,832"
Chlamydia,2000,Louisiana,22,All races/ethnicities,Both sexes,All age groups,All transmission categories,404.7,"18,088","4,469,768"
Chlamydia,2000,Maine,23,All races/ethnicities,Both sexes,All age groups,All transmission categories,115.4,"1,474","1,277,288"
Chlamydia,2000,Maryland,24,All races/ethnicities,Both sexes,All age groups,All transmission categories,273.6,"14,533","5,312,462"
Chlamydia,2000,Massachusetts,25,All races/ethnicities,Both sexes,All age groups,All transmission categories,158.3,"10,073","6,361,724"
Chlamydia,2000,Michigan,26,All races/ethnicities,Both sexes,All age groups,All transmission categories,263.5,"26,237","9,956,115"
Chlamydia,2000,Minnesota,27,All races/ethnicities,Both sexes,All age groups,All transmission categories,164.2,"8,102","4,934,248"
